                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78282,                0.55624,                 1.0102,                0.94444,                0.84877,                 0.9229,                0.73942,                0.70341,                0.47526,                0.92615,               0.001439,               0.001439,               0.001439
                     36,                0.79077,                0.59285,                 1.0175,                0.89211,                0.84605,                0.90276,                0.73475,                0.71294,                0.50471,                0.93397,              0.0014225,              0.0014225,              0.0014225
                     37,                0.78073,                0.55449,                 1.0066,                0.93039,                0.85422,                0.91321,                 0.7507,                0.69413,                0.45791,                0.92931,               0.001406,               0.001406,               0.001406
                     38,                0.78748,                0.55473,                 1.0229,                0.93044,                0.85651,                0.90861,                0.73325,                0.71198,                  0.467,                0.92883,              0.0013895,              0.0013895,              0.0013895
                     39,                0.77473,                0.56789,                 1.0098,                0.92198,                0.85327,                0.91003,                0.75036,                0.67078,                0.45888,                 0.9169,               0.001373,               0.001373,               0.001373
                     40,                0.77291,                0.55931,                0.99824,                 0.9119,                 0.8733,                0.91797,                0.75592,                0.66601,                0.45331,                0.91276,              0.0013565,              0.0013565,              0.0013565
                     41,                 0.7678,                0.53873,                0.99608,                0.93632,                 0.8624,                0.91633,                0.75196,                0.68821,                0.45681,                0.91547,                0.00134,                0.00134,                0.00134
                     42,                 0.7599,                0.54681,                0.99419,                0.93799,                 0.8656,                0.92183,                0.75231,                0.69453,                0.44739,                0.91302,              0.0013235,              0.0013235,              0.0013235
                     43,                0.76859,                0.55663,                  1.006,                0.93622,                0.83787,                0.89917,                0.74333,                0.68137,                0.48443,                0.91833,               0.001307,               0.001307,               0.001307
                     44,                 0.7579,                0.54363,                0.99443,                0.90538,                0.88692,                0.92211,                0.75242,                0.68988,                0.44507,                0.91683,              0.0012905,              0.0012905,              0.0012905
                     45,                0.74414,                0.53603,                0.99898,                0.94061,                0.86649,                0.91976,                0.75792,                0.68456,                0.43913,                0.91016,               0.001274,               0.001274,               0.001274
                     46,                0.73579,                0.52973,                0.98847,                0.90881,                0.87875,                0.91712,                0.76094,                0.67729,                0.44495,                 0.9226,              0.0012575,              0.0012575,              0.0012575
                     47,                0.74188,                0.54076,                0.99163,                0.92865,                0.86887,                0.91322,                0.75358,                0.67089,                0.43975,                0.91264,               0.001241,               0.001241,               0.001241
                     48,                0.74754,                0.52945,                0.98603,                0.92485,                0.87602,                0.92135,                0.76165,                0.67643,                0.43906,                 0.9066,              0.0012245,              0.0012245,              0.0012245
                     49,                0.73586,                0.53177,                0.99085,                 0.9412,                0.87234,                 0.9223,                0.76648,                0.66381,                0.41837,                0.90381,               0.001208,               0.001208,               0.001208
                     50,                0.71243,                0.51179,                0.97717,                0.91304,                0.88693,                0.92011,                0.76633,                 0.6572,                0.42125,                0.91294,              0.0011915,              0.0011915,              0.0011915
                     51,                0.73096,                 0.5266,                0.99292,                0.93509,                 0.8733,                0.91964,                 0.7581,                0.67229,                0.43034,                0.90012,               0.001175,               0.001175,               0.001175
                     52,                0.74453,                0.53358,                0.99576,                 0.9328,                 0.8699,                0.92217,                0.76526,                0.64989,                0.42428,                0.90546,              0.0011585,              0.0011585,              0.0011585
                     53,                0.72619,                0.52419,                0.98749,                 0.9171,                0.88011,                0.91878,                0.75693,                0.67156,                0.42176,                0.91128,               0.001142,               0.001142,               0.001142
                     54,                0.73424,                0.50837,                0.97632,                0.92904,                0.87407,                0.92513,                0.76707,                0.65181,                0.42292,                0.90633,              0.0011255,              0.0011255,              0.0011255
                     55,                0.72389,                0.51649,                0.97701,                0.92609,                0.88773,                0.92596,                0.76087,                0.67257,                0.41813,                0.90567,               0.001109,               0.001109,               0.001109
                     56,                0.72549,                0.51351,                0.98468,                0.94636,                0.86535,                0.92986,                0.76867,                0.66821,                0.41971,                  0.911,              0.0010925,              0.0010925,              0.0010925
                     57,                0.71479,                0.50449,                0.98528,                0.93201,                0.88283,                0.92544,                0.77123,                0.65519,                0.41109,                0.90546,               0.001076,               0.001076,               0.001076
                     58,                0.72496,                0.51023,                0.98142,                0.94374,                0.86848,                0.92944,                0.77284,                0.65065,                0.41238,                0.89752,              0.0010595,              0.0010595,              0.0010595
                     59,                0.71195,                0.50692,                0.97496,                0.92987,                 0.8624,                0.92032,                0.76684,                0.65909,                0.41087,                0.90872,               0.001043,               0.001043,               0.001043
                     60,                0.71243,                0.51026,                0.98188,                0.93262,                0.86742,                0.91845,                0.76149,                0.65605,                0.41103,                0.90609,              0.0010265,              0.0010265,              0.0010265
                     61,                0.73559,                0.52667,                0.99346,                0.92156,                0.87466,                0.91591,                 0.7631,                0.65445,                0.41841,                0.91301,                0.00101,                0.00101,                0.00101
                     62,                0.70098,                 0.5063,                0.97654,                0.92594,                0.88011,                0.92404,                0.76818,                0.66283,                0.42157,                0.90407,              0.0009935,              0.0009935,              0.0009935
                     63,                0.70768,                0.47879,                0.97426,                0.93874,                0.87677,                0.92837,                0.76542,                 0.6553,                0.41486,                0.90562,               0.000977,               0.000977,               0.000977
