                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.43021,                0.30421,                0.87818,                0.88534,                0.73636,                0.78025,                0.39104,                 1.8157,                0.81173,                 1.9202,               0.001439,               0.001439,               0.001439
                     36,                0.41856,                0.29495,                0.87322,                 0.9014,                0.73608,                0.80217,                0.38941,                  1.895,                0.82611,                 2.0533,              0.0014225,              0.0014225,              0.0014225
                     37,                0.39417,                0.27824,                0.86305,                0.88632,                0.73896,                0.80834,                 0.3795,                 1.9864,                0.87343,                 2.1337,               0.001406,               0.001406,               0.001406
                     38,                0.39327,                0.27832,                0.86275,                0.87973,                0.74935,                0.80972,                0.38629,                 1.9199,                0.82004,                 2.0743,              0.0013895,              0.0013895,              0.0013895
                     39,                0.37854,                0.27019,                0.85703,                0.90879,                0.75974,                 0.8224,                0.42489,                 1.7582,                0.78314,                 1.9036,               0.001373,               0.001373,               0.001373
                     40,                0.35622,                0.25748,                0.84865,                0.88918,                0.72727,                0.79586,                0.36701,                 2.0034,                0.86594,                 2.1916,              0.0013565,              0.0013565,              0.0013565
                     41,                0.35271,                0.25222,                0.84715,                 0.9351,                0.72976,                 0.8173,                0.40505,                 1.8394,                0.78952,                 2.0155,                0.00134,                0.00134,                0.00134
                     42,                0.34453,                0.24789,                0.84459,                0.88282,                 0.7632,                0.81239,                0.41916,                 1.7854,                0.78805,                 1.9766,              0.0013235,              0.0013235,              0.0013235
                     43,                0.32554,                0.23787,                 0.8381,                0.89863,                0.73683,                0.80788,                0.40916,                 1.7905,                0.80122,                 2.0034,               0.001307,               0.001307,               0.001307
                     44,                0.31578,                0.23081,                0.83471,                0.90899,                0.72636,                0.79025,                0.37279,                 1.9411,                0.84387,                 2.1502,              0.0012905,              0.0012905,              0.0012905
                     45,                0.31738,                0.23018,                0.83525,                 0.9255,                0.72598,                0.78161,                0.40886,                 1.6722,                0.76819,                 1.8608,               0.001274,               0.001274,               0.001274
