                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76711,                0.52024,                  1.075,                0.91122,                0.86696,                0.91369,                0.75278,                0.66018,                0.43537,                 0.9966,               0.001439,               0.001439,               0.001439
                     36,                0.74036,                0.51549,                 1.0462,                0.89484,                 0.8579,                0.90591,                0.75081,                0.66382,                0.45469,                0.99452,              0.0014225,              0.0014225,              0.0014225
                     37,                0.75176,                0.51364,                 1.0595,                0.90831,                0.86372,                0.91917,                0.76027,                0.65653,                0.43986,                0.99129,               0.001406,               0.001406,               0.001406
                     38,                0.75039,                0.50842,                 1.0578,                0.91785,                0.85831,                0.91495,                0.75918,                0.64739,                0.43447,                0.98951,              0.0013895,              0.0013895,              0.0013895
                     39,                0.75088,                0.52481,                 1.0568,                0.91018,                  0.856,                0.91418,                0.75768,                0.64079,                 0.4301,                0.98378,               0.001373,               0.001373,               0.001373
                     40,                0.73494,                0.51488,                 1.0503,                0.90315,                0.85117,                0.90089,                0.73495,                0.69495,                 0.4631,                  1.003,              0.0013565,              0.0013565,              0.0013565
                     41,                0.73167,                0.49293,                 1.0388,                0.93903,                0.85831,                0.92054,                0.76298,                 0.6436,                0.41868,                0.98054,                0.00134,                0.00134,                0.00134
                     42,                 0.7072,                0.48887,                 1.0305,                0.89797,                0.86512,                0.91964,                0.76877,                0.64286,                0.41821,                0.97886,              0.0013235,              0.0013235,              0.0013235
                     43,                0.72525,                0.50251,                 1.0518,                0.90278,                0.86512,                0.91338,                0.76234,                0.62735,                0.42238,                0.97776,               0.001307,               0.001307,               0.001307
                     44,                0.72805,                0.48806,                 1.0419,                0.90264,                0.86376,                0.91454,                0.75192,                0.65495,                 0.4327,                0.98929,              0.0012905,              0.0012905,              0.0012905
                     45,                0.72689,                 0.5065,                 1.0383,                 0.9227,                0.84562,                0.90896,                0.76105,                0.62841,                0.42898,                0.98958,               0.001274,               0.001274,               0.001274
                     46,                0.71741,                0.49732,                 1.0388,                 0.8941,                0.86512,                0.91424,                0.75894,                0.63294,                 0.4233,                0.98715,              0.0012575,              0.0012575,              0.0012575
                     47,                0.71797,                0.49165,                 1.0364,                0.93057,                0.84605,                0.91572,                0.76388,                0.63811,                0.40944,                 0.9806,               0.001241,               0.001241,               0.001241
                     48,                0.71675,                0.48572,                 1.0367,                0.95077,                0.85422,                0.92519,                0.75766,                0.64662,                0.41829,                0.98575,              0.0012245,              0.0012245,              0.0012245
                     49,                0.70435,                0.49111,                 1.0241,                0.92015,                 0.8406,                0.90426,                0.74193,                0.65563,                0.45406,                 1.0021,               0.001208,               0.001208,               0.001208
                     50,                0.71462,                0.49054,                 1.0432,                0.93373,                0.86377,                0.92038,                0.77327,                 0.6201,                0.40797,                0.96853,              0.0011915,              0.0011915,              0.0011915
                     51,                0.73258,                 0.5071,                 1.0562,                0.92498,                0.85671,                0.91872,                0.76899,                0.62242,                 0.4179,                0.98005,               0.001175,               0.001175,               0.001175
                     52,                 0.7058,                0.49472,                  1.028,                0.91809,                0.86785,                0.92067,                0.76244,                0.63829,                  0.411,                0.98165,              0.0011585,              0.0011585,              0.0011585
                     53,                0.72564,                0.50169,                 1.0393,                0.90463,                0.88283,                0.91949,                0.75999,                0.65148,                0.41317,                0.99001,               0.001142,               0.001142,               0.001142
                     54,                 0.7124,                0.48061,                  1.022,                0.92379,                0.87193,                0.91646,                0.76146,                0.63323,                0.40048,                 0.9856,              0.0011255,              0.0011255,              0.0011255
                     55,                0.68319,                0.46038,                 1.0241,                0.92206,                0.88011,                0.92057,                0.76186,                0.63984,                0.41336,                0.98667,               0.001109,               0.001109,               0.001109
                     56,                0.69033,                0.45115,                 1.0262,                0.91229,                0.87861,                0.91743,                0.77328,                0.61201,                0.39364,                0.97554,              0.0010925,              0.0010925,              0.0010925
                     57,                0.68259,                0.46571,                 1.0156,                0.92525,                0.87695,                0.92394,                0.77178,                0.60908,                0.39871,                 0.9729,               0.001076,               0.001076,               0.001076
                     58,                0.68606,                0.45559,                 1.0108,                0.93874,                0.85593,                0.91746,                0.77597,                0.61575,                0.39141,                0.97722,              0.0010595,              0.0010595,              0.0010595
                     59,                0.66421,                0.44782,                 1.0098,                0.92638,                0.85422,                0.91648,                0.77396,                0.60528,                0.39505,                0.97047,               0.001043,               0.001043,               0.001043
                     60,                0.66735,                0.44784,                 1.0111,                0.92267,                0.85695,                0.92127,                0.78582,                0.58448,                0.38877,                0.95941,              0.0010265,              0.0010265,              0.0010265
                     61,                0.68083,                 0.4541,                 1.0122,                0.92031,                0.84962,                0.91719,                0.77113,                0.60107,                 0.3953,                 0.9708,                0.00101,                0.00101,                0.00101
                     62,                0.67406,                0.45206,                 1.0176,                0.89254,                0.86376,                0.91486,                0.77291,                0.60488,                0.40733,                0.96334,              0.0009935,              0.0009935,              0.0009935
                     63,                0.67816,                0.45646,                 1.0151,                0.93344,                0.85975,                0.92449,                0.77527,                0.61328,                0.39046,                0.96734,               0.000977,               0.000977,               0.000977
                     64,                 0.6696,                0.45498,                 1.0145,                0.93752,                0.83822,                0.91428,                0.76725,                0.59886,                0.38895,                0.96924,              0.0009605,              0.0009605,              0.0009605
                     65,                0.64762,                0.44193,                0.99877,                0.92906,                0.86104,                 0.9202,                0.77748,                0.58773,                0.38877,                0.95882,               0.000944,               0.000944,               0.000944
                     66,                0.65958,                0.45385,                 1.0071,                0.92282,                0.87968,                0.92364,                0.77524,                0.59466,                 0.3752,                0.96605,              0.0009275,              0.0009275,              0.0009275
                     67,                0.64794,                 0.4524,                0.99351,                0.92895,                0.87278,                0.92408,                0.77511,                0.61144,                0.37955,                0.96498,               0.000911,               0.000911,               0.000911
                     68,                0.65852,                0.44294,                 1.0062,                0.93006,                0.86968,                0.91972,                0.77364,                0.59613,                0.38937,                0.96359,              0.0008945,              0.0008945,              0.0008945
                     69,                0.64965,                0.44079,                 1.0092,                0.92185,                0.88011,                0.92361,                 0.7749,                 0.6006,                0.37607,                0.96496,               0.000878,               0.000878,               0.000878
                     70,                0.65189,                0.43674,                 1.0077,                0.93253,                0.88147,                0.92454,                0.78347,                0.59413,                0.36617,                0.97303,              0.0008615,              0.0008615,              0.0008615
                     71,                0.62944,                0.41862,                0.99407,                0.92317,                0.88283,                0.92146,                0.77897,                0.59222,                0.36943,                0.96906,               0.000845,               0.000845,               0.000845
                     72,                 0.6351,                0.42916,                0.98787,                0.94631,                0.86785,                0.92793,                0.78408,                0.59637,                0.35576,                0.97031,              0.0008285,              0.0008285,              0.0008285
                     73,                0.63499,                0.42135,                0.99168,                0.93156,                 0.8842,                0.92195,                0.77506,                0.58821,                0.37551,                0.96032,               0.000812,               0.000812,               0.000812
                     74,                0.62457,                0.41763,                0.99116,                0.93977,                0.87602,                0.92799,                0.78548,                0.58132,                0.35932,                0.96037,              0.0007955,              0.0007955,              0.0007955
                     75,                0.63265,                0.41799,                0.99337,                0.92809,                0.86162,                0.91712,                0.78361,                0.58329,                0.37236,                0.95947,               0.000779,               0.000779,               0.000779
                     76,                0.63288,                0.41769,                0.97981,                0.91795,                0.88283,                 0.9277,                0.78311,                0.57801,                0.36589,                0.94854,              0.0007625,              0.0007625,              0.0007625
                     77,                0.62774,                0.41529,                0.98634,                0.94459,                0.85926,                0.92171,                0.78416,                0.58411,                0.36894,                0.96055,               0.000746,               0.000746,               0.000746
                     78,                0.62109,                0.41285,                0.97984,                0.94315,                 0.8589,                0.92819,                0.78419,                0.59929,                0.37357,                0.97172,              0.0007295,              0.0007295,              0.0007295
                     79,                0.61578,                0.40662,                 0.9798,                0.92592,                0.88283,                 0.9241,                0.78435,                 0.5887,                0.35706,                0.96539,               0.000713,               0.000713,               0.000713
                     80,                0.61979,                0.40768,                0.98543,                 0.9287,                 0.8733,                0.92321,                0.78467,                 0.5715,                0.35534,                0.95492,              0.0006965,              0.0006965,              0.0006965
                     81,                0.60183,                0.39694,                0.97341,                0.93141,                0.86952,                0.92406,                0.78421,                0.57777,                0.35381,                0.95379,                0.00068,                0.00068,                0.00068
                     82,                0.59675,                0.39462,                0.97653,                0.92256,                0.86649,                0.92111,                0.78033,                0.57549,                 0.3616,                 0.9589,              0.0006635,              0.0006635,              0.0006635
                     83,                0.61715,                0.40607,                0.98674,                0.92325,                0.88283,                0.92835,                0.78298,                0.58916,                0.35117,                0.96467,               0.000647,               0.000647,               0.000647
