                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  0.768,                0.55111,                 1.0104,                0.92897,                0.87303,                 0.9149,                0.75493,                0.66139,                0.45171,                0.91219,               0.001439,               0.001439,               0.001439
                     36,                0.76321,                 0.5614,                 1.0147,                 0.9086,                0.86683,                0.91424,                0.75835,                0.66473,                 0.4413,                0.92446,              0.0014225,              0.0014225,              0.0014225
                     37,                0.77406,                0.54568,                 1.0139,                0.91546,                0.86376,                0.91476,                0.74963,                0.68153,                0.45121,                0.93639,               0.001406,               0.001406,               0.001406
                     38,                0.75992,                0.53744,                 1.0174,                0.94094,                0.85967,                0.91886,                 0.7532,                0.68165,                0.44296,                0.91523,              0.0013895,              0.0013895,              0.0013895
                     39,                0.75465,                0.54002,                  1.007,                  0.918,                0.86942,                0.91428,                0.76035,                0.66604,                0.43172,                0.92179,               0.001373,               0.001373,               0.001373
                     40,                0.73958,                0.53161,                0.99539,                0.92243,                0.85865,                0.91213,                0.75283,                0.67229,                0.45786,                0.92111,              0.0013565,              0.0013565,              0.0013565
                     41,                0.74607,                0.52381,                0.99341,                0.93104,                 0.8624,                  0.916,                0.76381,                0.66022,                0.43866,                0.92269,                0.00134,                0.00134,                0.00134
                     42,                0.73095,                0.52587,                0.99506,                0.92219,                0.85967,                0.91587,                0.74997,                0.70069,                0.45326,                0.92262,              0.0013235,              0.0013235,              0.0013235
                     43,                0.73793,                0.53073,                 1.0017,                0.92763,                0.85564,                 0.9141,                 0.7517,                0.65871,                0.43416,                0.91636,               0.001307,               0.001307,               0.001307
                     44,                0.73886,                0.51913,                0.99317,                0.92958,                0.86318,                0.91858,                 0.7672,                0.63953,                0.42213,                 0.9068,              0.0012905,              0.0012905,              0.0012905
                     45,                0.72531,                0.51857,                0.99836,                0.91301,                0.87602,                0.91789,                0.76103,                0.66512,                0.43158,                0.91369,               0.001274,               0.001274,               0.001274
                     46,                0.69785,                0.50731,                0.97657,                0.92371,                0.86785,                0.91751,                0.76036,                0.65545,                0.43726,                0.91622,              0.0012575,              0.0012575,              0.0012575
                     47,                0.70219,                0.50927,                0.98064,                0.94656,                0.84468,                0.91997,                0.76104,                 0.6806,                0.43959,                0.91565,               0.001241,               0.001241,               0.001241
                     48,                0.72269,                0.51002,                0.98509,                0.95166,                0.85829,                0.91639,                0.76818,                0.66652,                 0.4196,                0.91384,              0.0012245,              0.0012245,              0.0012245
                     49,                0.72134,                0.51481,                0.99272,                0.93651,                0.86418,                0.90579,                0.74434,                0.66391,                0.45467,                0.91403,               0.001208,               0.001208,               0.001208
                     50,                0.67983,                0.50366,                0.97332,                0.92246,                0.86921,                0.91497,                 0.7622,                0.64762,                0.42295,                0.91288,              0.0011915,              0.0011915,              0.0011915
                     51,                0.70883,                0.50088,                0.99579,                0.93437,                0.87602,                0.92286,                0.77163,                0.64628,                0.41047,                 0.9131,               0.001175,               0.001175,               0.001175
                     52,                0.70975,                0.51404,                0.98575,                0.93358,                0.86512,                0.91497,                0.76306,                0.64701,                0.42304,                 0.9136,              0.0011585,              0.0011585,              0.0011585
                     53,                0.69555,                0.50527,                0.98483,                0.90528,                0.88538,                0.91543,                0.76104,                0.65985,                0.41957,                0.92977,               0.001142,               0.001142,               0.001142
                     54,                0.70346,                 0.4922,                  0.978,                0.93259,                0.87466,                0.92286,                0.76654,                 0.6512,                0.42003,                0.90704,              0.0011255,              0.0011255,              0.0011255
                     55,                0.68806,                0.49683,                0.97434,                0.93425,                0.86921,                0.92139,                0.76434,                0.64712,                0.41575,                0.90734,               0.001109,               0.001109,               0.001109
                     56,                0.70116,                 0.4975,                0.98137,                 0.9346,                0.87057,                0.92466,                0.77001,                0.63759,                  0.396,                0.90849,              0.0010925,              0.0010925,              0.0010925
                     57,                0.68134,                0.48049,                0.97833,                0.95084,                0.86962,                0.92606,                0.77617,                 0.6422,                0.39489,                0.91014,               0.001076,               0.001076,               0.001076
                     58,                0.68844,                0.49692,                0.97216,                0.91976,                0.89017,                0.92294,                0.77719,                0.62995,                0.40117,                0.89785,              0.0010595,              0.0010595,              0.0010595
                     59,                0.68151,                0.48176,                0.97396,                0.94551,                0.85098,                0.92448,                0.77555,                 0.6292,                0.40294,                0.90108,               0.001043,               0.001043,               0.001043
                     60,                0.67957,                0.48559,                0.97217,                 0.9237,                0.89068,                0.92448,                0.76853,                0.64623,                0.40921,                 0.9107,              0.0010265,              0.0010265,              0.0010265
                     61,                 0.7035,                0.49285,                0.98785,                0.93803,                0.88147,                0.92788,                0.78418,                0.62156,                0.39044,                0.92517,                0.00101,                0.00101,                0.00101
                     62,                0.67432,                 0.4852,                0.97674,                0.93478,                0.87875,                  0.929,                0.78177,                0.65031,                0.40817,                0.91553,              0.0009935,              0.0009935,              0.0009935
                     63,                0.68179,                 0.4706,                0.97495,                0.94632,                0.86461,                0.92466,                0.77412,                0.63979,                0.40999,                0.91347,               0.000977,               0.000977,               0.000977
                     64,                0.66063,                0.46753,                0.96433,                0.93388,                 0.8842,                0.92914,                0.78475,                0.61457,                0.39403,                0.90426,              0.0009605,              0.0009605,              0.0009605
                     65,                0.65444,                0.46673,                0.94926,                0.94838,                 0.8624,                0.91695,                0.76515,                0.64375,                0.40984,                0.91407,               0.000944,               0.000944,               0.000944
                     66,                0.66562,                0.47034,                0.97016,                0.95251,                0.87451,                0.92357,                 0.7749,                0.61909,                0.38935,                0.90505,              0.0009275,              0.0009275,              0.0009275
                     67,                0.64584,                0.46209,                 0.9504,                0.94159,                 0.8785,                0.92944,                0.77698,                0.64984,                0.39519,                 0.9142,               0.000911,               0.000911,               0.000911
